time_utc,time_msc,bid,ask,last,volume,flags
2026-08-18T10:08:00.900000+00:00,1787047680900,0.71081,0.7109,0.0,0,130
2026-08-18T10:08:02.948000+00:00,1787047682948,0.71079,0.71088,0.0,0,134
2026-08-18T10:08:03.302000+00:00,1787047683302,0.71078,0.71087,0.0,0,134
2026-08-18T10:08:03.331000+00:00,1787047683331,0.71076,0.71085,0.0,0,134
2026-08-18T10:08:04.388000+00:00,1787047684388,0.71075,0.71084,0.0,0,134
2026-08-18T10:08:08.120000+00:00,1787047688120,0.71074,0.71083,0.0,0,134
2026-08-18T10:08:13.978000+00:00,1787047693978,0.71073,0.71082,0.0,0,134
2026-08-18T10:08:17.912000+00:00,1787047697912,0.71072,0.71081,0.0,0,134
2026-08-18T10:08:19.100000+00:00,1787047699100,0.71073,0.71082,0.0,0,134
2026-08-18T10:08:24.234000+00:00,1787047704234,0.71072,0.71081,0.0,0,134
2026-08-18T10:08:25.621000+00:00,1787047705621,0.71073,0.71082,0.0,0,134
2026-08-18T10:08:26.622000+00:00,1787047706622,0.71072,0.71081,0.0,0,134
2026-08-18T10:08:31.911000+00:00,1787047711911,0.71073,0.71082,0.0,0,134
2026-08-18T10:08:32.924000+00:00,1787047712924,0.71072,0.71081,0.0,0,134
2026-08-18T10:08:34.145000+00:00,1787047714145,0.71073,0.71082,0.0,0,134
2026-08-18T10:08:49.007000+00:00,1787047729007,0.71072,0.71081,0.0,0,134
2026-08-18T10:08:54.311000+00:00,1787047734311,0.71073,0.71082,0.0,0,134
2026-08-18T10:08:59.282000+00:00,1787047739282,0.71072,0.71081,0.0,0,134
2026-08-18T10:09:00.680000+00:00,1787047740680,0.71072,0.71081,0.0,0,130
2026-08-18T10:09:01.771000+00:00,1787047741771,0.71073,0.71082,0.0,0,134
2026-08-18T10:09:05.464000+00:00,1787047745464,0.71075,0.71084,0.0,0,134
2026-08-18T10:09:05.532000+00:00,1787047745532,0.71076,0.71085,0.0,0,134
2026-08-18T10:09:06.643000+00:00,1787047746643,0.71077,0.71086,0.0,0,134
2026-08-18T10:09:11.773000+00:00,1787047751773,0.71078,0.71087,0.0,0,134
2026-08-18T10:09:15.809000+00:00,1787047755809,0.71077,0.71086,0.0,0,134
2026-08-18T10:09:20.185000+00:00,1787047760185,0.71078,0.71087,0.0,0,134
2026-08-18T10:09:27.053000+00:00,1787047767053,0.71077,0.71086,0.0,0,134
2026-08-18T10:09:27.241000+00:00,1787047767241,0.71075,0.71084,0.0,0,134
2026-08-18T10:09:28.306000+00:00,1787047768306,0.71074,0.71083,0.0,0,134
2026-08-18T10:09:31.719000+00:00,1787047771719,0.71075,0.71084,0.0,0,134
2026-08-18T10:09:34.962000+00:00,1787047774962,0.71076,0.71085,0.0,0,134
2026-08-18T10:09:37.429000+00:00,1787047777429,0.71075,0.71084,0.0,0,134
2026-08-18T10:09:56.053000+00:00,1787047796053,0.71076,0.71085,0.0,0,134
2026-08-18T10:09:57.321000+00:00,1787047797321,0.71075,0.71084,0.0,0,134
2026-08-18T10:09:58.424000+00:00,1787047798424,0.71076,0.71085,0.0,0,134
2026-08-18T10:10:00.262000+00:00,1787047800262,0.71075,0.71084,0.0,0,134
2026-08-18T10:10:06.534000+00:00,1787047806534,0.71076,0.71085,0.0,0,134
2026-08-18T10:10:20.961000+00:00,1787047820961,0.71075,0.71084,0.0,0,134
2026-08-18T10:10:29.442000+00:00,1787047829442,0.71074,0.71083,0.0,0,134
2026-08-18T10:10:29.765000+00:00,1787047829765,0.71073,0.71082,0.0,0,134
2026-08-18T10:10:31.268000+00:00,1787047831268,0.71072,0.71081,0.0,0,134
2026-08-18T10:10:33.498000+00:00,1787047833498,0.71071,0.7108,0.0,0,134
2026-08-18T10:10:34.521000+00:00,1787047834521,0.7107,0.71079,0.0,0,134
2026-08-18T10:10:36.617000+00:00,1787047836617,0.71071,0.7108,0.0,0,134
2026-08-18T10:10:38.895000+00:00,1787047838895,0.7107,0.71079,0.0,0,134
2026-08-18T10:10:51.186000+00:00,1787047851186,0.71069,0.71078,0.0,0,134
2026-08-18T10:10:53.505000+00:00,1787047853505,0.7107,0.71079,0.0,0,134
2026-08-18T10:10:55.742000+00:00,1787047855742,0.71069,0.71078,0.0,0,134
2026-08-18T10:10:58.203000+00:00,1787047858203,0.7107,0.71079,0.0,0,134
2026-08-18T10:11:00.899000+00:00,1787047860899,0.71069,0.71078,0.0,0,134
2026-08-18T10:11:01.926000+00:00,1787047861926,0.71068,0.71077,0.0,0,134
2026-08-18T10:11:04.135000+00:00,1787047864135,0.71067,0.71076,0.0,0,134
2026-08-18T10:11:06.215000+00:00,1787047866215,0.71068,0.71077,0.0,0,134
2026-08-18T10:11:06.482000+00:00,1787047866482,0.71069,0.71078,0.0,0,134
2026-08-18T10:11:07.802000+00:00,1787047867802,0.7107,0.71079,0.0,0,134
2026-08-18T10:11:09.835000+00:00,1787047869835,0.71069,0.71078,0.0,0,134
2026-08-18T10:11:11.163000+00:00,1787047871163,0.71068,0.71077,0.0,0,134
2026-08-18T10:11:15.368000+00:00,1787047875368,0.71069,0.71078,0.0,0,134
2026-08-18T10:11:28.811000+00:00,1787047888811,0.71068,0.71077,0.0,0,134
2026-08-18T10:11:37.266000+00:00,1787047897266,0.71067,0.71076,0.0,0,134
2026-08-18T10:11:43.366000+00:00,1787047903366,0.71066,0.71075,0.0,0,134
2026-08-18T10:11:43.514000+00:00,1787047903514,0.71065,0.71074,0.0,0,134
2026-08-18T10:11:44.697000+00:00,1787047904697,0.71064,0.71073,0.0,0,134
2026-08-18T10:11:47.159000+00:00,1787047907159,0.71063,0.71072,0.0,0,134
2026-08-18T10:11:51.565000+00:00,1787047911565,0.71064,0.71073,0.0,0,134
2026-08-18T10:11:54.254000+00:00,1787047914254,0.71063,0.71072,0.0,0,134
