time_utc,time_msc,bid,ask,last,volume,flags
2026-08-19T02:13:00.575000+00:00,1787105580575,1.38953,1.38967,0.0,0,130
2026-08-19T02:13:02.150000+00:00,1787105582150,1.38952,1.3896600000000001,0.0,0,134
2026-08-19T02:13:04.722000+00:00,1787105584722,1.38951,1.38965,0.0,0,134
2026-08-19T02:13:09.465000+00:00,1787105589465,1.38949,1.38963,0.0,0,134
2026-08-19T02:13:24.029000+00:00,1787105604029,1.38947,1.38961,0.0,0,134
2026-08-19T02:13:24.980000+00:00,1787105604980,1.38945,1.38959,0.0,0,134
2026-08-19T02:13:25.008000+00:00,1787105605008,1.38943,1.38957,0.0,0,134
2026-08-19T02:13:26.084000+00:00,1787105606084,1.3894199999999999,1.38956,0.0,0,134
2026-08-19T02:13:27.128000+00:00,1787105607128,1.3894,1.38954,0.0,0,134
2026-08-19T02:13:28.213000+00:00,1787105608213,1.38941,1.38955,0.0,0,134
2026-08-19T02:13:32.388000+00:00,1787105612388,1.3894199999999999,1.38956,0.0,0,134
2026-08-19T02:13:33.990000+00:00,1787105613990,1.38941,1.38955,0.0,0,134
2026-08-19T02:13:35.256000+00:00,1787105615256,1.3894199999999999,1.38956,0.0,0,134
2026-08-19T02:13:43.156000+00:00,1787105623156,1.38941,1.38955,0.0,0,134
2026-08-19T02:13:45.534000+00:00,1787105625534,1.3894199999999999,1.38956,0.0,0,134
2026-08-19T02:13:57.180000+00:00,1787105637180,1.38943,1.38957,0.0,0,134
2026-08-19T02:14:00.782000+00:00,1787105640782,1.38943,1.38957,0.0,0,130
2026-08-19T02:14:08.773000+00:00,1787105648773,1.38945,1.38959,0.0,0,134
2026-08-19T02:14:16.515000+00:00,1787105656515,1.38944,1.38958,0.0,0,134
2026-08-19T02:14:18.396000+00:00,1787105658396,1.38943,1.38957,0.0,0,134
2026-08-19T02:14:23.377000+00:00,1787105663377,1.38944,1.38958,0.0,0,134
2026-08-19T02:14:32.488000+00:00,1787105672488,1.38945,1.38959,0.0,0,134
2026-08-19T02:14:33.653000+00:00,1787105673653,1.38946,1.3896,0.0,0,134
2026-08-19T02:14:34.697000+00:00,1787105674697,1.38945,1.38959,0.0,0,134
2026-08-19T02:14:40.200000+00:00,1787105680200,1.38946,1.3896,0.0,0,134
2026-08-19T02:14:45.742000+00:00,1787105685742,1.38947,1.38961,0.0,0,134
2026-08-19T02:15:00.701000+00:00,1787105700701,1.38948,1.38962,0.0,0,134
2026-08-19T02:15:01.740000+00:00,1787105701740,1.38949,1.38963,0.0,0,134
2026-08-19T02:15:02.785000+00:00,1787105702785,1.3895,1.38964,0.0,0,134
