13th August 2026 14:23:08 IST | price_arrived_at_poi | {"ts_utc": "2026-08-13T08:53:08.593800+00:00", "ts_ist": "13th August 2026 14:23:08 IST", "stream": "4h", "type": "price_arrived_at_poi", "symbol": "GBPUSD", "zone_id": "4h-1771315200--1-133f82", "direction": "supply", "lower": 1.3563, "upper": 1.36064, "visit": 6, "detected_on": "closed_15m_bar", "arrival_time": 1776430800, "arrival_time_utc": "2026-04-17T13:00:00+00:00", "arrival_time_ist": "17th April 2026 18:30:00 IST", "origin_time": 1771315200, "origin_time_utc": "2026-02-17T08:00:00+00:00", "origin_time_ist": "17th February 2026 13:30:00 IST", "confirmed_at": 1771344000, "confirmed_at_utc": "2026-02-17T16:00:00+00:00", "confirmed_at_ist": "17th February 2026 21:30:00 IST"}
13th August 2026 14:23:08 IST | poi_available | {"ts_utc": "2026-08-13T08:53:08.600041+00:00", "ts_ist": "13th August 2026 14:23:08 IST", "stream": "4h", "type": "poi_available", "symbol": "GBPUSD", "zone_id": "4h-1775606400-1-ae6c69", "direction": "demand", "lower": 1.33795, "upper": 1.34014, "proximal": 1.34014, "distal": 1.33795, "bos_level": 1.33783, "origin_time": 1775606400, "origin_time_utc": "2026-04-08T00:00:00+00:00", "origin_time_ist": "8th April 2026 5:30:00 IST", "confirmed_at": 1775635200, "confirmed_at_utc": "2026-04-08T08:00:00+00:00", "confirmed_at_ist": "8th April 2026 13:30:00 IST"}
13th August 2026 14:23:08 IST | price_arrived_at_poi | {"ts_utc": "2026-08-13T08:53:08.600041+00:00", "ts_ist": "13th August 2026 14:23:08 IST", "stream": "4h", "type": "price_arrived_at_poi", "symbol": "GBPUSD", "zone_id": "4h-1775606400-1-ae6c69", "direction": "demand", "lower": 1.33795, "upper": 1.34014, "visit": 6, "detected_on": "closed_15m_bar", "arrival_time": 1776049200, "arrival_time_utc": "2026-04-13T03:00:00+00:00", "arrival_time_ist": "13th April 2026 8:30:00 IST", "origin_time": 1775606400, "origin_time_utc": "2026-04-08T00:00:00+00:00", "origin_time_ist": "8th April 2026 5:30:00 IST", "confirmed_at": 1775635200, "confirmed_at_utc": "2026-04-08T08:00:00+00:00", "confirmed_at_ist": "8th April 2026 13:30:00 IST"}
13th August 2026 14:23:08 IST | poi_available | {"ts_utc": "2026-08-13T08:53:08.600041+00:00", "ts_ist": "13th August 2026 14:23:08 IST", "stream": "4h", "type": "poi_available", "symbol": "GBPUSD", "zone_id": "4h-1776297600--1-f1da02", "direction": "supply", "lower": 1.35728, "upper": 1.3595, "proximal": 1.35728, "distal": 1.3595, "bos_level": 1.35432, "origin_time": 1776297600, "origin_time_utc": "2026-04-16T00:00:00+00:00", "origin_time_ist": "16th April 2026 5:30:00 IST", "confirmed_at": 1776355200, "confirmed_at_utc": "2026-04-16T16:00:00+00:00", "confirmed_at_ist": "16th April 2026 21:30:00 IST"}
13th August 2026 14:23:08 IST | price_arrived_at_poi | {"ts_utc": "2026-08-13T08:53:08.600041+00:00", "ts_ist": "13th August 2026 14:23:08 IST", "stream": "4h", "type": "price_arrived_at_poi", "symbol": "GBPUSD", "zone_id": "4h-1776297600--1-f1da02", "direction": "supply", "lower": 1.35728, "upper": 1.3595, "visit": 1, "detected_on": "closed_15m_bar", "arrival_time": 1776430800, "arrival_time_utc": "2026-04-17T13:00:00+00:00", "arrival_time_ist": "17th April 2026 18:30:00 IST", "origin_time": 1776297600, "origin_time_utc": "2026-04-16T00:00:00+00:00", "origin_time_ist": "16th April 2026 5:30:00 IST", "confirmed_at": 1776355200, "confirmed_at_utc": "2026-04-16T16:00:00+00:00", "confirmed_at_ist": "16th April 2026 21:30:00 IST"}
13th August 2026 14:23:08 IST | poi_available | {"ts_utc": "2026-08-13T08:53:08.600041+00:00", "ts_ist": "13th August 2026 14:23:08 IST", "stream": "4h", "type": "poi_available", "symbol": "GBPUSD", "zone_id": "4h-1776427200--1-7bad4e", "direction": "supply", "lower": 1.35295, "upper": 1.35996, "proximal": 1.35295, "distal": 1.35996, "bos_level": 1.35045, "origin_time": 1776427200, "origin_time_utc": "2026-04-17T12:00:00+00:00", "origin_time_ist": "17th April 2026 17:30:00 IST", "confirmed_at": 1776643200, "confirmed_at_utc": "2026-04-20T00:00:00+00:00", "confirmed_at_ist": "20th April 2026 5:30:00 IST"}
13th August 2026 14:23:08 IST | price_arrived_at_poi | {"ts_utc": "2026-08-13T08:53:08.600041+00:00", "ts_ist": "13th August 2026 14:23:08 IST", "stream": "4h", "type": "price_arrived_at_poi", "symbol": "GBPUSD", "zone_id": "4h-1776427200--1-7bad4e", "direction": "supply", "lower": 1.35295, "upper": 1.35996, "visit": 8, "detected_on": "closed_15m_bar", "arrival_time": 1776845700, "arrival_time_utc": "2026-04-22T08:15:00+00:00", "arrival_time_ist": "22nd April 2026 13:45:00 IST", "origin_time": 1776427200, "origin_time_utc": "2026-04-17T12:00:00+00:00", "origin_time_ist": "17th April 2026 17:30:00 IST", "confirmed_at": 1776643200, "confirmed_at_utc": "2026-04-20T00:00:00+00:00", "confirmed_at_ist": "20th April 2026 5:30:00 IST"}
13th August 2026 14:23:48 IST | poi_available | {"ts_utc": "2026-08-13T08:53:48.677007+00:00", "ts_ist": "13th August 2026 14:23:48 IST", "stream": "4h", "type": "poi_available", "symbol": "GBPUSD", "zone_id": "4h-1762776000-1-e0f1c7", "direction": "demand", "lower": 1.31455, "upper": 1.31758, "proximal": 1.31758, "distal": 1.31455, "bos_level": 1.31491, "origin_time": 1762776000, "origin_time_utc": "2025-11-10T12:00:00+00:00", "origin_time_ist": "10th November 2025 17:30:00 IST", "confirmed_at": 1762804800, "confirmed_at_utc": "2025-11-10T20:00:00+00:00", "confirmed_at_ist": "11th November 2025 1:30:00 IST"}
13th August 2026 14:23:48 IST | price_arrived_at_poi | {"ts_utc": "2026-08-13T08:53:48.677007+00:00", "ts_ist": "13th August 2026 14:23:48 IST", "stream": "4h", "type": "price_arrived_at_poi", "symbol": "GBPUSD", "zone_id": "4h-1762776000-1-e0f1c7", "direction": "demand", "lower": 1.31455, "upper": 1.31758, "visit": 4, "detected_on": "closed_15m_bar", "arrival_time": 1774974600, "arrival_time_utc": "2026-03-31T16:30:00+00:00", "arrival_time_ist": "31st March 2026 22:00:00 IST", "origin_time": 1762776000, "origin_time_utc": "2025-11-10T12:00:00+00:00", "origin_time_ist": "10th November 2025 17:30:00 IST", "confirmed_at": 1762804800, "confirmed_at_utc": "2025-11-10T20:00:00+00:00", "confirmed_at_ist": "11th November 2025 1:30:00 IST"}
13th August 2026 14:23:48 IST | price_arrived_at_poi | {"ts_utc": "2026-08-13T08:53:48.683192+00:00", "ts_ist": "13th August 2026 14:23:48 IST", "stream": "4h", "type": "price_arrived_at_poi", "symbol": "GBPUSD", "zone_id": "4h-1764144000-1-732cb4", "direction": "demand", "lower": 1.31503, "upper": 1.31795, "visit": 8, "detected_on": "closed_15m_bar", "arrival_time": 1775427300, "arrival_time_utc": "2026-04-05T22:15:00+00:00", "arrival_time_ist": "6th April 2026 3:45:00 IST", "origin_time": 1764144000, "origin_time_utc": "2025-11-26T08:00:00+00:00", "origin_time_ist": "26th November 2025 13:30:00 IST", "confirmed_at": 1764172800, "confirmed_at_utc": "2025-11-26T16:00:00+00:00", "confirmed_at_ist": "26th November 2025 21:30:00 IST"}
13th August 2026 14:23:48 IST | price_arrived_at_poi | {"ts_utc": "2026-08-13T08:53:48.690183+00:00", "ts_ist": "13th August 2026 14:23:48 IST", "stream": "4h", "type": "price_arrived_at_poi", "symbol": "GBPUSD", "zone_id": "4h-1776427200--1-7bad4e", "direction": "supply", "lower": 1.35295, "upper": 1.35996, "visit": 4, "detected_on": "closed_15m_bar", "arrival_time": 1776752100, "arrival_time_utc": "2026-04-21T06:15:00+00:00", "arrival_time_ist": "21st April 2026 11:45:00 IST", "origin_time": 1776427200, "origin_time_utc": "2026-04-17T12:00:00+00:00", "origin_time_ist": "17th April 2026 17:30:00 IST", "confirmed_at": 1776643200, "confirmed_at_utc": "2026-04-20T00:00:00+00:00", "confirmed_at_ist": "20th April 2026 5:30:00 IST"}
