time_utc,Day_IST,Time_IST,time,open,high,low,close,tick_volume,spread,real_volume
2021-03-02T23:00:00+00:00,2021-03-03,04:30:00,1614726000,1738.274,1740.604,1734.883,1736.658,2914,0,0
2021-03-03T00:00:00+00:00,2021-03-03,05:30:00,1614729600,1736.647,1737.575,1734.268,1735.182,3335,0,0
2021-03-03T01:00:00+00:00,2021-03-03,06:30:00,1614733200,1735.151,1737.116,1730.103,1734.316,5285,0,0
2021-03-03T02:00:00+00:00,2021-03-03,07:30:00,1614736800,1734.339,1734.373,1731.542,1732.987,3344,0,0
2021-03-03T03:00:00+00:00,2021-03-03,08:30:00,1614740400,1732.956,1735.627,1732.861,1734.894,3270,0,0
2021-03-03T04:00:00+00:00,2021-03-03,09:30:00,1614744000,1734.89,1735.712,1734.624,1735.331,2459,0,0
2021-03-03T05:00:00+00:00,2021-03-03,10:30:00,1614747600,1735.324,1735.767,1732.198,1733.246,3426,0,0
2021-03-03T06:00:00+00:00,2021-03-03,11:30:00,1614751200,1733.253,1734.168,1730.576,1732.877,4126,0,0
2021-03-03T07:00:00+00:00,2021-03-03,12:30:00,1614754800,1732.844,1736.029,1732.06,1733.48,4463,0,0
2021-03-03T08:00:00+00:00,2021-03-03,13:30:00,1614758400,1733.446,1733.616,1726.583,1727.466,5270,0,0
2021-03-03T09:00:00+00:00,2021-03-03,14:30:00,1614762000,1727.503,1730.298,1725.756,1728.201,5232,0,0
2021-03-03T10:00:00+00:00,2021-03-03,15:30:00,1614765600,1728.232,1728.302,1724.072,1726.607,4532,0,0
2021-03-03T11:00:00+00:00,2021-03-03,16:30:00,1614769200,1726.572,1726.82,1721.566,1724.286,4521,0,0
2021-03-03T12:00:00+00:00,2021-03-03,17:30:00,1614772800,1724.319,1726.748,1723.732,1726.084,4616,0,0
2021-03-03T13:00:00+00:00,2021-03-03,18:30:00,1614776400,1726.052,1726.128,1708.439,1712.454,14101,0,0
2021-03-03T14:00:00+00:00,2021-03-03,19:30:00,1614780000,1712.422,1717.29,1708.625,1711.557,15201,0,0
2021-03-03T15:00:00+00:00,2021-03-03,20:30:00,1614783600,1711.591,1717.114,1701.868,1716.083,16617,0,0
2021-03-03T16:00:00+00:00,2021-03-03,21:30:00,1614787200,1716.052,1725.224,1715.691,1718.761,11565,0,0
2021-03-03T17:00:00+00:00,2021-03-03,22:30:00,1614790800,1718.776,1719.845,1716.115,1717.32,6204,0,0
2021-03-03T18:00:00+00:00,2021-03-03,23:30:00,1614794400,1717.285,1720.384,1715.94,1719.097,5938,0,0
2021-03-03T19:00:00+00:00,2021-03-04,00:30:00,1614798000,1719.098,1719.619,1712.166,1715.77,6526,0,0
2021-03-03T20:00:00+00:00,2021-03-04,01:30:00,1614801600,1715.817,1717.229,1714.071,1714.347,5700,0,0
2021-03-03T21:00:00+00:00,2021-03-04,02:30:00,1614805200,1714.378,1715.907,1709.604,1710.987,2644,0,0
2021-03-03T23:00:00+00:00,2021-03-04,04:30:00,1614812400,1711.377,1712.069,1708.252,1710.568,2945,0,0
2021-03-04T00:00:00+00:00,2021-03-04,05:30:00,1614816000,1710.564,1715.748,1708.921,1715.097,4017,0,0
2021-03-04T01:00:00+00:00,2021-03-04,06:30:00,1614819600,1715.134,1716.755,1711.118,1715.282,5428,0,0
2021-03-04T02:00:00+00:00,2021-03-04,07:30:00,1614823200,1715.263,1716.278,1710.63,1712.397,4572,0,0
2021-03-04T03:00:00+00:00,2021-03-04,08:30:00,1614826800,1712.399,1712.792,1709.46,1709.629,3928,0,0
2021-03-04T04:00:00+00:00,2021-03-04,09:30:00,1614830400,1709.599,1715.452,1706.62,1715.112,4914,0,0
2021-03-04T05:00:00+00:00,2021-03-04,10:30:00,1614834000,1715.082,1720.175,1714.362,1718.288,4879,0,0
2021-03-04T06:00:00+00:00,2021-03-04,11:30:00,1614837600,1718.253,1718.275,1714.894,1716.668,5635,0,0
2021-03-04T07:00:00+00:00,2021-03-04,12:30:00,1614841200,1716.637,1721.289,1716.288,1718.012,5903,0,0
2021-03-04T08:00:00+00:00,2021-03-04,13:30:00,1614844800,1717.981,1719.08,1712.32,1712.972,5922,0,0
2021-03-04T09:00:00+00:00,2021-03-04,14:30:00,1614848400,1712.942,1718.513,1706.325,1715.343,8083,0,0
2021-03-04T10:00:00+00:00,2021-03-04,15:30:00,1614852000,1715.373,1716.726,1708.64,1715.46,7077,0,0
2021-03-04T11:00:00+00:00,2021-03-04,16:30:00,1614855600,1715.497,1717.064,1713.301,1715.784,5174,0,0
2021-03-04T12:00:00+00:00,2021-03-04,17:30:00,1614859200,1715.815,1720.393,1715.054,1718.762,5705,0,0
2021-03-04T13:00:00+00:00,2021-03-04,18:30:00,1614862800,1718.731,1723.265,1713.125,1716.001,10211,0,0
2021-03-04T14:00:00+00:00,2021-03-04,19:30:00,1614866400,1716.032,1717.628,1712.411,1714.8,11155,0,0
2021-03-04T15:00:00+00:00,2021-03-04,20:30:00,1614870000,1714.77,1721.314,1709.579,1718.838,12385,0,0
2021-03-04T16:00:00+00:00,2021-03-04,21:30:00,1614873600,1718.805,1722.489,1714.481,1714.674,7096,0,0
2021-03-04T17:00:00+00:00,2021-03-04,22:30:00,1614877200,1714.705,1718.023,1698.539,1700.454,22956,0,0
2021-03-04T18:00:00+00:00,2021-03-04,23:30:00,1614880800,1700.424,1704.334,1690.543,1691.214,17423,0,0
2021-03-04T19:00:00+00:00,2021-03-05,00:30:00,1614884400,1691.252,1700.836,1691.252,1699.189,11504,0,0
2021-03-04T20:00:00+00:00,2021-03-05,01:30:00,1614888000,1699.153,1699.379,1695.424,1697.507,7750,0,0
2021-03-04T21:00:00+00:00,2021-03-05,02:30:00,1614891600,1697.475,1700.633,1697.475,1697.727,3336,0,0
2021-03-04T23:00:00+00:00,2021-03-05,04:30:00,1614898800,1697.928,1698.862,1693.368,1694.41,3801,0,0
2021-03-05T00:00:00+00:00,2021-03-05,05:30:00,1614902400,1694.377,1695.317,1688.898,1694.874,5502,0,0
2021-03-05T01:00:00+00:00,2021-03-05,06:30:00,1614906000,1694.861,1694.861,1687.32,1692.737,8168,0,0
2021-03-05T02:00:00+00:00,2021-03-05,07:30:00,1614909600,1692.733,1695.043,1689.712,1694.453,4890,0,0
2021-03-05T03:00:00+00:00,2021-03-05,08:30:00,1614913200,1694.438,1695.795,1693.553,1694.442,4277,0,0
2021-03-05T04:00:00+00:00,2021-03-05,09:30:00,1614916800,1694.438,1694.593,1691.761,1692.234,3644,0,0
2021-03-05T05:00:00+00:00,2021-03-05,10:30:00,1614920400,1692.203,1697.394,1692.194,1696.983,4335,0,0
2021-03-05T06:00:00+00:00,2021-03-05,11:30:00,1614924000,1696.988,1699.473,1695.535,1696.916,5053,0,0
2021-03-05T07:00:00+00:00,2021-03-05,12:30:00,1614927600,1696.949,1700.516,1695.01,1696.663,5804,0,0
2021-03-05T08:00:00+00:00,2021-03-05,13:30:00,1614931200,1696.695,1696.866,1691.062,1693.947,6530,0,0
2021-03-05T09:00:00+00:00,2021-03-05,14:30:00,1614934800,1693.932,1696.054,1691.228,1694.639,5267,0,0
2021-03-05T10:00:00+00:00,2021-03-05,15:30:00,1614938400,1694.659,1697.662,1693.59,1694.747,4739,0,0
