time_utc,time,open,high,low,close,tick_volume,spread,real_volume
2023-06-09T15:00:00Z,1686322800,1.2579099999999999,1.25854,1.25755,1.25849,909,8,0
2023-06-09T15:15:00Z,1686323700,1.25847,1.2587,1.2576800000000001,1.25786,661,8,0
2023-06-09T15:30:00Z,1686324600,1.25788,1.25826,1.25755,1.25789,677,8,0
2023-06-09T15:45:00Z,1686325500,1.25786,1.25818,1.25749,1.25779,602,8,0
2023-06-09T16:00:00Z,1686326400,1.25778,1.25779,1.2573699999999999,1.25778,519,8,0
2023-06-09T16:15:00Z,1686327300,1.25777,1.25839,1.25758,1.2579799999999999,396,8,0
2023-06-09T16:30:00Z,1686328200,1.25797,1.25819,1.25753,1.25808,396,8,0
2023-06-09T16:45:00Z,1686329100,1.25805,1.25838,1.25788,1.25819,234,8,0
2023-06-09T17:00:00Z,1686330000,1.25816,1.2582900000000001,1.2579500000000001,1.25796,225,8,0
2023-06-09T17:15:00Z,1686330900,1.2579500000000001,1.258,1.25767,1.25777,253,8,0
2023-06-09T17:30:00Z,1686331800,1.25776,1.25779,1.25755,1.25776,183,8,0
2023-06-09T17:45:00Z,1686332700,1.25774,1.258,1.25727,1.25748,190,8,0
2023-06-09T18:00:00Z,1686333600,1.25747,1.25784,1.2574100000000001,1.25778,183,8,0
2023-06-09T18:15:00Z,1686334500,1.25777,1.25779,1.25738,1.25751,182,8,0
2023-06-09T18:30:00Z,1686335400,1.2575,1.25759,1.2573699999999999,1.2574,220,8,0
2023-06-09T18:45:00Z,1686336300,1.2574100000000001,1.2576,1.25716,1.25759,278,8,0
2023-06-09T19:00:00Z,1686337200,1.25756,1.25769,1.25746,1.25758,229,8,0
2023-06-09T19:15:00Z,1686338100,1.25757,1.25763,1.2572999999999999,1.25742,126,8,0
2023-06-09T19:30:00Z,1686339000,1.25744,1.25758,1.25726,1.25749,113,8,0
2023-06-09T19:45:00Z,1686339900,1.25748,1.2576800000000001,1.25739,1.2576800000000001,194,8,0
2023-06-09T20:00:00Z,1686340800,1.25767,1.25807,1.2576100000000001,1.2576800000000001,168,8,0
2023-06-09T20:15:00Z,1686341700,1.2577099999999999,1.2580200000000001,1.2576100000000001,1.2580200000000001,129,8,0
2023-06-09T20:30:00Z,1686342600,1.25803,1.25803,1.25785,1.2580200000000001,84,8,0
2023-06-09T20:45:00Z,1686343500,1.258,1.25804,1.25779,1.2579799999999999,184,8,0
2023-06-11T21:00:00Z,1686517200,1.25635,1.25636,1.25603,1.25628,27,228,0
2023-06-11T21:15:00Z,1686518100,1.25629,1.25643,1.25626,1.25631,43,228,0
2023-06-11T21:30:00Z,1686519000,1.25633,1.2570299999999999,1.25625,1.25702,126,228,0
2023-06-11T21:45:00Z,1686519900,1.25692,1.25714,1.25691,1.25706,94,221,0
2023-06-11T22:00:00Z,1686520800,1.25794,1.25794,1.25731,1.2573699999999999,65,51,0
2023-06-11T22:15:00Z,1686521700,1.2573699999999999,1.25755,1.2573400000000001,1.25747,55,40,0
2023-06-11T22:30:00Z,1686522600,1.25742,1.25742,1.25728,1.25735,56,40,0
2023-06-11T22:45:00Z,1686523500,1.25733,1.2575,1.25727,1.2575,33,12,0
2023-06-11T23:00:00Z,1686524400,1.25749,1.25765,1.25743,1.25765,58,12,0
2023-06-11T23:15:00Z,1686525300,1.2576800000000001,1.25797,1.2576100000000001,1.25779,66,12,0
2023-06-11T23:30:00Z,1686526200,1.25782,1.25797,1.2577,1.25779,84,12,0
2023-06-11T23:45:00Z,1686527100,1.2578,1.25806,1.25779,1.2579099999999999,56,12,0
2023-06-12T00:00:00Z,1686528000,1.25793,1.2579500000000001,1.2573699999999999,1.25753,211,8,0
2023-06-12T00:15:00Z,1686528900,1.25753,1.25774,1.25739,1.2574100000000001,173,8,0
2023-06-12T00:30:00Z,1686529800,1.25739,1.25794,1.25739,1.25783,184,8,0
2023-06-12T00:45:00Z,1686530700,1.25782,1.25782,1.25738,1.25754,189,8,0
2023-06-12T01:00:00Z,1686531600,1.25752,1.25754,1.25726,1.25731,236,8,0
2023-06-12T01:15:00Z,1686532500,1.25728,1.25763,1.25715,1.25742,342,8,0
2023-06-12T01:30:00Z,1686533400,1.25742,1.25759,1.25729,1.25743,357,8,0
2023-06-12T01:45:00Z,1686534300,1.25742,1.25745,1.25678,1.25681,302,8,0
