trade_id,signal_id,strategy,symbol,broker_symbol,direction,model,signal_time_utc,entry_time_utc,exit_time_utc,signal_price,entry_price,fill_price,structural_stop,effective_stop,stop_price,initial_risk,destination_target,active_target,destination_reward_risk_at_fill,exit_price,exit_reason,status,outcome,r,realized_r,peak_r,mfe_r,mae_r,partial_banked,partial_fraction,remaining_fraction,final_stop_price,final_stop_r,bars_held_5m,spread_at_fill_points,spread_at_fill_price,spread_pct_of_initial_risk,entry_zone_id,destination_zone_id,campaign_zone_count,stop_basis
trade-b6b01df3925971a2,b6b01df3925971a2,s146,USDCAD,USDCADm,short,aggressive_liquidation,2025-08-21T07:00:00Z,2025-08-21T07:00:00Z,2025-08-21T07:05:00Z,1.3877506085,1.3878,1.3878,1.3882594095,1.3882594095,1.3882594095,0.0004594095,1.38152,1.38152,13.6697216753,1.3882594095,stop_loss,loss,loss,-1.0,-1.0,0.0,0.0,-1.784899964,False,0.0,1.0,1.3882594095,-1.0,1,15.0,0.00015,0.326506091,15m-1755752400--1-e3eb9b,4h-1755590400-1-509224,1,15m_zone_distal_plus_buffer
trade-47def22d3e2792c7,47def22d3e2792c7,s146,NZDUSD,NZDUSDm,long,aggressive_liquidation,2025-08-21T07:10:00Z,2025-08-21T07:10:00Z,2025-08-21T11:35:00Z,0.5817990875,0.58193,0.58193,0.581230937,0.581230937,0.581230937,0.000699063,0.58947,0.58947,10.7858662238,0.582629063,trailing_stop,win,win,1.125,1.125,1.5163154108,1.5163154108,-0.9155111914,True,0.5,0.5,0.582629063,1.0,53,18.0,0.00018,0.2574875226,15m-1755752400-1-5624ec,4h-1755633600--1-a3202a,1,liquidity_pool_plus_buffer
trade-8cfc587ad54b74b2,8cfc587ad54b74b2,s146,USDCHF,USDCHFm,long,aggressive_liquidation,2025-08-21T08:00:00Z,2025-08-21T08:00:00Z,2025-08-21T10:55:00Z,0.804990246,0.80503,0.80503,0.804599768,0.804599768,0.804599768,0.000430232,0.80779,0.80779,6.4151434575,0.805675348,trailing_stop,win,win,1.375,1.375,2.1383811525,2.1383811525,-0.4881087413,True,0.5,0.5,0.805675348,1.5,35,13.0,0.00013,0.3021625542,15m-1755755100-1-2102e5,4h-1755648000--1-f8584b,1,liquidity_pool_plus_buffer
trade-8c98e45acaeebdb6,8c98e45acaeebdb6,s146,USDCAD,USDCADm,short,aggressive_liquidation,2025-08-21T10:25:00Z,2025-08-21T10:25:00Z,2025-08-21T10:45:00Z,1.38764061,1.38781,1.38781,1.3882344082,1.3882344082,1.3882344082,0.0004244082,1.38152,1.38152,14.8206355555,1.3882344082,stop_loss,loss,loss,-1.0,-1.0,0.0,0.0,-1.1545487158,False,0.0,1.0,1.3882344082,-1.0,4,15.0,0.00015,0.3534332803,15m-1755765000--1-6fc2b4,4h-1755590400-1-509224,1,liquidity_pool_plus_buffer
trade-1fe1e5274e8fd5cf,1fe1e5274e8fd5cf,s146,NZDUSD,NZDUSDm,long,aggressive_liquidation,2025-08-21T12:25:00Z,2025-08-21T12:25:00Z,2025-08-21T13:50:00Z,0.5825691245,0.58267,0.58267,0.581610918,0.581610918,0.581610918,0.001059082,0.58947,0.58947,6.420654869,0.581610918,stop_loss,loss,loss,-1.0,-1.0,0.3965698596,0.3965698596,-1.066961765,False,0.0,1.0,0.581610918,-1.0,17,18.0,0.00018,0.1699585112,15m-1755763200-1-2b427a,4h-1755633600--1-a3202a,1,liquidity_pool_plus_buffer
trade-8462385b1f59a4ca,8462385b1f59a4ca,s146,USDCHF,USDCHFm,long,aggressive_liquidation,2025-08-21T12:40:00Z,2025-08-21T12:40:00Z,2025-08-21T13:55:00Z,0.8056102735,0.80561,0.80561,0.804639766,0.804639766,0.804639766,0.000970234,0.80779,0.80779,2.2468806494,0.80779,destination_hit,win,win,1.7484403247,1.7484403247,2.2881078173,2.2881078173,-0.4431920547,True,0.5,0.5,0.807065351,1.5,15,13.0,0.00013,0.1339882956,15m-1755766800-1-f9289f,4h-1755648000--1-f8584b,2,liquidity_pool_plus_buffer
trade-06868ebaabf2a449,06868ebaabf2a449,s146,GBPUSD,GBPUSDm,long,aggressive_liquidation,2025-08-21T12:50:00Z,2025-08-21T12:50:00Z,2025-08-21T13:50:00Z,1.345247251,1.34511,1.34511,1.343432825,1.343432825,1.343432825,0.001677175,1.35202,1.35202,4.1200232534,1.343432825,stop_loss,loss,loss,-1.0,-1.0,0.4829549689,0.4829549689,-1.4906017559,False,0.0,1.0,1.343432825,-1.0,12,11.0,0.00011,0.0655864773,15m-1755759600-1-4dd7a9,4h-1755590400--1-c8d965,1,liquidity_pool_plus_buffer
trade-4bb3ba07adc26d3b,4bb3ba07adc26d3b,s146,AUDUSD,AUDUSDm,long,aggressive_liquidation,2025-08-22T02:00:00Z,2025-08-22T02:00:00Z,2025-08-22T02:25:00Z,0.6422821075,0.64224,0.64224,0.6417979085,0.6417979085,0.6417979085,0.0004420915,0.64327,0.64327,2.3298344347,0.6426820915,trailing_stop,win,win,1.125,1.125,1.6512418809,1.6512418809,-0.4071555323,True,0.5,0.5,0.6426820915,1.0,5,9.0,9e-05,0.2035777661,15m-1755811800-1-3ac44f,4h-1755720000--1-683f03,1,liquidity_pool_plus_buffer
trade-b6a3113716083b69,b6a3113716083b69,s146,GBPUSD,GBPUSDm,long,aggressive_liquidation,2025-08-22T02:00:00Z,2025-08-22T02:00:00Z,2025-08-22T03:40:00Z,1.341327053,1.34117,1.34117,1.340432975,1.340432975,1.340432975,0.000737025,1.34532,1.34532,5.6307452257,1.340432975,stop_loss,loss,loss,-1.0,-1.0,0.6105627353,0.6105627353,-1.4382144432,False,0.0,1.0,1.340432975,-1.0,20,11.0,0.00011,0.1492486686,15m-1755812700-1-ec75dc,4h-1755748800--1-76d134,1,liquidity_pool_plus_buffer
trade-cbf178fa99b022bf,cbf178fa99b022bf,s146,EURUSD,EURUSDm,long,aggressive_liquidation,2025-08-22T02:05:00Z,2025-08-22T02:05:00Z,2025-08-22T03:40:00Z,1.161138051,1.16112,1.16112,1.159902002,1.159902002,1.159902002,0.001217998,1.16455,1.16455,2.8160965782,1.159902002,stop_loss,loss,loss,-1.0,-1.0,0.2134650467,0.2134650467,-1.6830897916,False,0.0,1.0,1.159902002,-1.0,19,9.0,9e-05,0.0738917469,15m-1755810900-1-bb6984,4h-1755748800--1-978083,1,liquidity_pool_plus_buffer
