time_utc,time,open,high,low,close,tick_volume,spread,real_volume
2026-08-18T20:00:00Z,1787083200,114.855,114.88,114.78,114.795,2130,11,0
2026-08-19T00:00:00Z,1787097600,114.793,114.874,114.678,114.83,5884,11,0
2026-08-19T04:00:00Z,1787112000,114.831,114.848,114.658,114.715,6161,11,0
2026-08-19T08:00:00Z,1787126400,114.713,114.797,114.588,114.705,6659,11,0
2026-08-19T12:00:00Z,1787140800,114.705,114.73,114.081,114.643,20014,11,0
2026-08-19T16:00:00Z,1787155200,114.641,114.736,114.483,114.506,8048,11,0
2026-08-19T20:00:00Z,1787169600,114.506,114.615,114.455,114.603,3015,10,0
2026-08-20T00:00:00Z,1787184000,114.601,114.872,114.586,114.823,7521,11,0
2026-08-20T04:00:00Z,1787198400,114.823,115.022,114.802,114.98,7079,11,0
2026-08-20T08:00:00Z,1787212800,114.982,115.271,114.95,115.24,8866,11,0
2026-08-20T12:00:00Z,1787227200,115.241,115.323,115.06,115.271,12501,11,0
2026-08-20T16:00:00Z,1787241600,115.271,115.436,115.259,115.358,5679,11,0
2026-08-20T20:00:00Z,1787256000,115.36,115.399,115.274,115.291,2569,11,0
2026-08-21T00:00:00Z,1787270400,115.292,115.572,115.28,115.51,5943,11,0
2026-08-21T04:00:00Z,1787284800,115.511,115.549,115.354,115.431,5739,11,0
2026-08-21T08:00:00Z,1787299200,115.432,115.534,115.213,115.51,9397,11,0
2026-08-21T12:00:00Z,1787313600,115.512,115.581,115.365,115.44,9505,11,0
2026-08-21T16:00:00Z,1787328000,115.441,115.576,115.391,115.476,4119,11,0
2026-08-21T20:00:00Z,1787342400,115.476,115.519,115.445,115.472,843,11,0
2026-08-23T20:00:00Z,1787515200,115.076,115.252,114.818,115.188,2214,11,0
2026-08-24T00:00:00Z,1787529600,115.19,115.255,115.103,115.238,5721,11,0
2026-08-24T04:00:00Z,1787544000,115.238,115.242,114.999,115.028,7182,11,0
2026-08-24T08:00:00Z,1787558400,115.028,115.104,114.861,114.885,7231,11,0
2026-08-24T12:00:00Z,1787572800,114.883,115.121,114.817,115.001,10284,11,0
2026-08-24T16:00:00Z,1787587200,115.0,115.005,114.806,114.956,5555,11,0
2026-08-24T20:00:00Z,1787601600,114.957,114.977,114.849,114.971,2190,11,0
2026-08-25T00:00:00Z,1787616000,114.973,115.067,114.915,115.009,4971,11,0
2026-08-25T04:00:00Z,1787630400,115.009,115.036,114.878,115.034,5455,11,0
2026-08-25T08:00:00Z,1787644800,115.035,115.072,114.892,114.895,7337,11,0
2026-08-25T12:00:00Z,1787659200,114.897,115.162,114.858,115.082,8828,11,0
2026-08-25T16:00:00Z,1787673600,115.083,115.153,115.035,115.069,4626,11,0
2026-08-25T20:00:00Z,1787688000,115.068,115.097,114.957,115.063,2535,11,0
2026-08-26T00:00:00Z,1787702400,115.065,115.088,114.652,114.696,6449,11,0
2026-08-26T04:00:00Z,1787716800,114.696,114.796,114.656,114.699,5003,11,0
2026-08-26T08:00:00Z,1787731200,114.698,114.775,114.618,114.759,5575,11,0
2026-08-26T12:00:00Z,1787745600,114.759,114.934,114.682,114.841,8950,11,0
2026-08-26T16:00:00Z,1787760000,114.841,114.906,114.818,114.823,4215,11,0
2026-08-26T20:00:00Z,1787774400,114.823,114.829,114.754,114.784,1832,11,0
2026-08-27T00:00:00Z,1787788800,114.782,114.84,114.655,114.777,5135,11,0
2026-08-27T04:00:00Z,1787803200,114.778,114.821,114.706,114.793,4138,11,0
2026-08-27T08:00:00Z,1787817600,114.792,114.981,114.747,114.945,5966,11,0
2026-08-27T12:00:00Z,1787832000,114.945,115.056,114.863,114.951,8321,11,0
2026-08-27T16:00:00Z,1787846400,114.952,115.097,114.912,115.076,4057,11,0
2026-08-27T20:00:00Z,1787860800,115.076,115.09,115.012,115.015,1672,11,0
2026-08-28T00:00:00Z,1787875200,115.014,115.144,115.01,115.117,3445,11,0
2026-08-28T04:00:00Z,1787889600,115.117,115.19,115.082,115.135,3914,11,0
2026-08-28T08:00:00Z,1787904000,115.136,115.324,115.124,115.262,5039,11,0
2026-08-28T12:00:00Z,1787918400,115.261,115.275,115.055,115.116,11364,11,0
2026-08-28T16:00:00Z,1787932800,115.116,115.253,115.095,115.142,5252,11,0
2026-08-28T20:00:00Z,1787947200,115.143,115.15,115.109,115.126,787,11,0
