position_id,symbol,direction,model,result,exit_reason,signal_id,entry_utc,entry_ist,exit_utc,hour_utc,weekday,lots,entry_price,initial_stop,broker_target,risk_price,risk_points,realized_money,loss_at_sl_money,stop_basis,entry_zone_id,destination_zone_id,destination_rr,spread_at_signal_points,spread_pct_of_risk,round_trip_cost_r,stop_multiple_vs_structural,used_liquidity_pool_stop,minutes_held,realized_r_money_est,realized_r,exit_legs,closed_fraction,destination_confirmed_utc,zone_confirmed_utc,destination_age_hours,zone_age_hours,alert_to_confirm_minutes,zone_width_r,zone_width_points,entry_beyond_proximal_r,stop_pad_beyond_distal_r,campaign_zones_all,campaign_extreme_zone_id,entry_zone_is_extreme_all,entry_zone_extreme_rank,r_from_extreme_zone,extreme_zone_confirmed_utc,live_partial_banked,live_partial_events,live_stop_moves_ok,live_final_stop_r,live_stop_went_positive,live_peak_r_journal,live_stop_clamped_by_broker,entry_bar_open_utc,entry_bar_partial,mfe_r,mae_r,minutes_to_peak,bars_in_window,reached_partial_1_25r,reached_first_trail_1_5r,reached_1r,reached_0_5r,scn_live_ladder_sim_r,scn_live_ladder_sim_reason,scn_fixed_0_75r_r,scn_fixed_0_75r_reason,scn_fixed_1r_r,scn_fixed_1r_reason,scn_fixed_1_25r_r,scn_fixed_1_25r_reason,scn_fixed_2r_r,scn_fixed_2r_reason,scn_destination_only_r,scn_destination_only_reason,scn_partial_1r_then_be_r,scn_partial_1r_then_be_reason,scn_no_partial_trail_from_1_5r_r,scn_no_partial_trail_from_1_5r_reason,scn_be_at_0_75r_then_dest_r,scn_be_at_0_75r_then_dest_reason,scn_be_at_1r_then_dest_r,scn_be_at_1r_then_dest_reason,scn_be_at_1r_target_2r_r,scn_be_at_1r_target_2r_reason,outcome_class
2186497247,NZDUSD,long,aggressive_liquidation,Profit,stop_loss,4043b45ac07a4f26,2026-08-19T11:50:22.878000+00:00,2026-08-19T17:20:22.878000+05:30,2026-08-19T12:47:17.394000+00:00,11,Wed,0.32,0.588,0.58743,0.59032,0.00057,57.0,4157.98,1841.73,liquidity_pool_plus_buffer,15m-1787129100-1-44fa3d,4h-1786996800--1-4aeb25,4.27,14.0,25.51,0.5102,1.0,True,56.9,2.258,2.237,2,1.0,2026-08-18T08:00:00+00:00,2026-08-19T09:30:00+00:00,27.83,2.33,5.0,0.351,20.0,0.544,0.105,5,15m-1787117400-1-effd10,False,3,1.193,2026-08-19T06:30:00+00:00,True,1,6,3.0,True,3.548,False,2026-08-19T11:50:00+00:00,True,3.789,-0.579,55.0,12,True,True,True,True,2.125,trail_stop,0.75,take_profit,1.0,take_profit,1.25,take_profit,2.0,take_profit,4.07,take_profit,2.0,trail_stop,3.0,trail_stop,3.0,trail_stop,3.0,trail_stop,2.0,take_profit,trailed_winner
2186498159,AUDCAD,long,aggressive_liquidation,Profit,take_profit,ece24648b9b50ebc,2026-08-19T11:50:29.740000+00:00,2026-08-19T17:20:29.740000+05:30,2026-08-19T13:10:40.575000+00:00,11,Wed,0.26,0.98158,0.98082,0.98472,0.00076,76.0,4064.8,1422.01,liquidity_pool_plus_buffer,15m-1787124600-1-dfed8f,4h-1787040000--1-71f224,4.4,18.0,24.89,0.4978,1.0,True,80.2,2.858,2.796,2,1.0,2026-08-19T00:00:00+00:00,2026-08-19T08:30:00+00:00,11.83,3.33,5.0,0.25,19.0,0.671,0.079,2,15m-1787124600-1-dfed8f,True,1,0.0,2026-08-19T08:30:00+00:00,True,1,6,3.0,True,3.56,False,2026-08-19T11:50:00+00:00,True,4.921,-0.553,80.0,17,True,True,True,True,2.691,take_profit,0.75,take_profit,1.0,take_profit,1.25,take_profit,2.0,take_profit,4.132,take_profit,2.566,take_profit,4.132,take_profit,4.132,take_profit,4.132,take_profit,2.0,take_profit,target_hit
2186626231,XAUUSD,long,aggressive_liquidation,Profit,take_profit,98f1ea39eb8d3bbd,2026-08-19T12:10:26.920000+00:00,2026-08-19T17:40:26.920000+05:30,2026-08-19T12:36:41.989000+00:00,12,Wed,0.04,4367.023,4354.427,4395.566,12.596,12596.0,9072.16,5819.22,liquidity_pool_plus_buffer,15m-1787129100-1-d0cf65,4h-1787040000--1-f6c62d,1.96,260.0,1.87,0.0375,1.0,True,26.3,1.559,1.767,2,1.0,2026-08-18T16:00:00+00:00,2026-08-19T10:15:00+00:00,20.17,1.92,5.0,0.614,7737.0,0.368,0.017,7,15m-1787095800-1-b8d290,False,5,2.518,2026-08-19T00:15:00+00:00,True,1,3,1.5,True,2.042,False,2026-08-19T12:10:00+00:00,True,3.955,-0.096,25.0,6,True,True,True,True,1.758,take_profit,0.75,take_profit,1.0,take_profit,1.25,take_profit,2.0,take_profit,2.266,take_profit,1.633,take_profit,2.266,take_profit,2.266,take_profit,2.266,take_profit,2.0,take_profit,target_hit
2186868252,NZDJPY,short,aggressive_liquidation,Loss,stop_loss,2ed0964ecc86819c,2026-08-19T12:35:29.198000+00:00,2026-08-19T18:05:29.198000+05:30,2026-08-19T12:35:56.587000+00:00,12,Wed,0.33,93.574,93.604,93.321,0.03,30.0,-653.14,2032.24,liquidity_pool_plus_buffer,15m-1787137200--1-273a66,4h-1786651200-1-0ea28e,2.03,14.0,15.0,0.2999,1.0,True,0.5,-0.321,-1.0,1,1.0,2026-08-14T16:00:00+00:00,2026-08-19T11:45:00+00:00,116.58,0.83,15.0,0.833,25.0,-0.167,0.333,19,15m-1786963500--1-ea44f5,False,17,22.8,2026-08-17T11:45:00+00:00,False,0,0,,False,,False,2026-08-19T12:35:00+00:00,True,8.267,-1.2,0.0,1,True,True,True,True,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,ran_past_partial_then_lost
2187624002,NZDCHF,long,aggressive_liquidation,Loss,stop_loss,24fd3bb6632c39a4,2026-08-19T13:05:26.311000+00:00,2026-08-19T18:35:26.311000+05:30,2026-08-19T13:50:01.283000+00:00,13,Wed,0.32,0.47656,0.47572,0.47861,0.00084,84.0,-3504.05,2607.34,liquidity_pool_plus_buffer,15m-1787123700-1-755d38,4h-1786996800--1-749bf5,3.61,14.0,22.31,0.4461,1.0,True,44.6,-1.344,-1.0,1,1.0,2026-08-18T04:00:00+00:00,2026-08-19T08:30:00+00:00,33.08,4.58,15.0,0.25,21.0,0.619,0.131,5,15m-1787123700-1-755d38,True,1,0.0,2026-08-19T08:30:00+00:00,False,0,0,,False,,False,2026-08-19T13:05:00+00:00,True,0.107,-1.536,0.0,10,False,False,False,False,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,stopped_never_our_way
2190881806,NZDUSD,short,aggressive_liquidation,Loss,stop_loss,40144eac5d8d6367,2026-08-19T18:10:29.638000+00:00,2026-08-19T23:40:29.638000+05:30,2026-08-19T18:41:14.279000+00:00,18,Wed,0.32,0.59307,0.5936,0.58709,0.00053,53.0,-1779.77,2650.68,liquidity_pool_plus_buffer,15m-1787157900--1-7a7a50,4h-1787112000-1-1d53f2,7.25,14.0,17.74,0.3547,1.0,True,30.7,-0.671,-1.0,1,1.0,2026-08-19T16:00:00+00:00,2026-08-19T18:00:00+00:00,2.17,0.17,0.0,0.509,27.0,0.17,0.321,1,15m-1787157900--1-7a7a50,True,1,0.0,2026-08-19T18:00:00+00:00,False,0,0,,False,,False,2026-08-19T18:10:00+00:00,True,0.642,-1.038,15.0,7,False,False,False,True,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,ran_then_reverted_before_partial
2191535017,AUDUSD,short,aggressive_liquidation,Loss,stop_loss,24dc5a14246f3611,2026-08-19T19:15:28.107000+00:00,2026-08-20T00:45:28.107000+05:30,2026-08-19T19:26:05.217000+00:00,19,Wed,0.27,0.71232,0.71257,0.70723,0.00025,25.0,-708.35,1094.52,liquidity_pool_plus_buffer,15m-1787157000--1-010154,4h-1787112000-1-32911d,12.83,9.0,23.3,0.466,1.0,True,10.6,-0.647,-1.0,1,1.0,2026-08-19T16:00:00+00:00,2026-08-19T17:45:00+00:00,3.25,1.5,15.0,0.64,16.0,0.0,0.36,1,15m-1787157000--1-010154,True,1,0.0,2026-08-19T17:45:00+00:00,False,0,0,,False,,False,2026-08-19T19:15:00+00:00,True,0.08,-1.4,0.0,3,False,False,False,False,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,-1.0,stop_loss,stopped_never_our_way
2191680635,GBPUSD,short,aggressive_liquidation,Loss,stop_loss,9d28818c25275f67,2026-08-19T19:35:29.533000+00:00,2026-08-20T01:05:29.533000+05:30,2026-08-20T04:08:58.059000+00:00,19,Wed,0.14,1.36089,1.36158,1.35551,0.00069,69.0,-1013.78,1154.34,liquidity_pool_plus_buffer,15m-1787157900--1-22c20f,4h-1787126400-1-8b5848,6.72,10.0,12.72,0.2544,1.0,True,513.5,-0.878,-1.0,1,1.0,2026-08-19T16:00:00+00:00,2026-08-19T17:30:00+00:00,3.58,2.08,35.0,0.87,60.0,0.029,0.101,1,15m-1787157900--1-22c20f,True,1,0.0,2026-08-19T17:30:00+00:00,False,0,0,,False,,False,2026-08-19T19:35:00+00:00,True,2.0,-1.043,330.0,102,True,True,True,True,1.375,trail_stop,0.75,take_profit,1.0,take_profit,1.25,take_profit,-1.0,stop_loss,-1.0,stop_loss,1.25,trail_stop,1.5,trail_stop,0.0,trail_stop,1.5,trail_stop,0.0,trail_stop,ran_past_partial_then_lost
2192174615,NZDCAD,short,aggressive_liquidation,Loss,stop_loss,70c301b9fcf3891f,2026-08-19T22:00:16.913000+00:00,2026-08-20T03:30:16.913000+05:30,2026-08-19T22:00:37.364000+00:00,22,Wed,0.32,0.81923,0.81954,0.81503,0.00031,31.0,-753.93,3227.21,liquidity_pool_plus_buffer,15m-1787170500--1-025ebc,4h-1787112000-1-e828f9,2.4,17.0,12.81,0.2562,1.0,True,0.3,-0.234,-1.0,1,1.0,2026-08-19T16:00:00+00:00,2026-08-19T21:30:00+00:00,6.0,0.5,0.0,0.613,19.0,-0.032,0.419,2,15m-1787170500--1-025ebc,True,1,0.0,2026-08-19T21:30:00+00:00,False,0,0,,False,,False,2026-08-19T22:00:00+00:00,True,2.129,-0.806,0.0,1,True,True,True,True,1.375,trail_stop,0.75,take_profit,1.0,take_profit,1.25,take_profit,2.0,take_profit,-1.0,stop_loss,1.25,trail_stop,1.5,trail_stop,1.5,trail_stop,1.5,trail_stop,2.0,take_profit,ran_past_partial_then_lost
2192275158,AUDJPY,long,aggressive_liquidation,Profit,stop_loss,88faec39b66e3483,2026-08-19T22:10:26.922000+00:00,2026-08-20T03:40:26.922000+05:30,2026-08-20T09:19:11.942000+00:00,22,Wed,0.26,112.639,112.219,113.438,0.42,420.0,3349.52,6804.91,15m_zone_distal_plus_buffer,15m-1787142600-1-56608f,4h-1787040000--1-012ee8,2.09,39.0,9.89,0.1978,1.0,False,668.8,0.492,0.476,1,1.0,2026-08-18T20:00:00+00:00,2026-08-19T13:15:00+00:00,26.17,8.92,5.0,0.893,375.0,0.093,0.014,3,15m-1787142600-1-56608f,True,1,0.0,2026-08-19T13:15:00+00:00,False,0,0,,False,,False,2026-08-19T22:10:00+00:00,True,0.748,-0.29,630.0,134,False,False,False,True,1.576,take_profit,0.75,take_profit,1.0,take_profit,1.25,take_profit,2.0,take_profit,1.902,take_profit,1.451,take_profit,1.902,take_profit,1.902,take_profit,1.902,take_profit,2.0,take_profit,partial_winner
