meta_trade_id,meta_symbol,meta_signal_time_utc,k_paths,k_p_target_first,k_p_stop_first,k_p_timeout,k_expected_r,k_median_r,k_expected_r_p25,k_mean_mfe_r,k_mean_mae_r,k_mean_terminal_r,k_p_terminal_favorable,k_dispersion_r,k_mean_bars_to_exit,k_reward_r,k_target_stop_ratio,k_error
trade-6ae9f1f11f5ec1b9,GBPUSD,2025-08-28T09:15:00Z,30.0,0.2,0.43333333,0.36666667,2.13943473,3.43263182,-1.0,3.19331198,-0.96629365,4.13040574,1.0,0.65053588,57.9,5.82291751,0.4615397,
trade-29d2ea8f7b08cbd5,USDCHF,2025-08-28T14:30:00Z,30.0,0.0,0.93333333,0.06666667,-0.84944618,-1.0,-1.0,0.50265122,-1.43898748,1.0592263,1.0,0.50661794,22.33333333,4.97451717,1.07e-06,
trade-a013c5a28ce69f3e,USDJPY,2025-08-28T14:30:00Z,30.0,0.26666667,0.73333333,0.0,-0.24922294,-1.0,-1.0,0.93552585,-1.20006604,5.52489185,1.0,0.77420126,3.03333333,1.81541397,0.36363723,
trade-36530a2b393e305c,AUDUSD,2025-08-28T14:30:00Z,30.0,0.1,0.1,0.8,4.20929512,4.57856305,4.0896354,5.83336407,-0.54986829,4.60921352,1.0,0.5151026,85.63333333,7.32600218,1.0,
trade-3c01de8b374dcfe8,USDJPY,2025-08-28T21:30:00Z,30.0,0.1,0.5,0.4,1.90992712,1.26632811,-1.0,2.97569672,-0.99668562,4.90964087,1.0,0.97423521,55.2,5.69597395,0.2000016,
trade-d9f7a7e480d53e4e,USDJPY,2025-08-29T02:15:00Z,30.0,0.3,0.16666667,0.53333333,1.86567493,2.32769409,1.79656199,2.29235942,-0.71636873,2.64151313,1.0,0.64535132,85.86666667,2.91789482,1.7999952,
trade-23487bed234d873f,AUDUSD,2025-08-29T08:05:00Z,30.0,0.0,0.26666667,0.73333333,5.73600702,7.77565472,0.5303606,7.12490176,-0.68937697,8.36381711,1.0,1.03842572,75.2,13.40712214,3.75e-06,
trade-3a743a2c7b552576,EURUSD,2025-08-29T08:55:00Z,30.0,0.9,0.03333333,0.06666667,1.49837366,1.60881247,1.60881247,1.9501087,-0.48032669,2.27927985,1.0,0.5745278,57.83333333,1.60881247,26.99922002,
trade-1635a2b43cb06bac,USDJPY,2025-08-29T20:10:00Z,30.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,0.4011353,-2.00571301,2.02019208,1.0,0.79486267,10.2,7.78043405,1e-06,
trade-94956dd568adf794,USDCAD,2025-09-01T01:00:00Z,30.0,0.0,0.1,0.9,2.27068725,2.47010369,2.0920333,2.64981186,-0.50181765,2.62213611,1.0,0.67804896,86.9,10.29149187,1e-05,
